variavel: Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades:;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Água Santa;80;85;91;109;123;130;150;174;189;206;225;235;248;263;283;302;551;839;852;839;860;805;841;1011;958;970;1037;986
Agudo;1027;1043;1051;1057;1167;1308;1397;1788;2291;2544;2463;2003;1990;2110;2203;2295;2412;2629;2635;2776;2988;3163;3167;3536;3263;3236;3362;3931
Ajuricaba;360;380;446;506;611;796;624;739;738;861;879;893;946;1025;973;1059;1351;1313;1418;1519;1548;1574;1518;1918;1786;1701;1670;1519
Alecrim;356;335;353;354;356;363;377;382;391;400;425;400;412;432;467;485;515;538;578;601;651;721;696;742;734;742;714;666
Alegrete;10341;10277;10960;10646;11296;12189;12079;12287;13025;13650;13807;13836;13660;14275;14542;14877;15708;16020;16527;16895;17906;19332;19248;20676;18921;18144;18811;19691
Alegria;164;151;157;162;172;179;207;191;225;271;266;253;487;459;423;447;489;464;468;452;424;471;478;547;517;449;561;596
Alpestre;348;337;338;357;337;336;352;384;384;435;420;441;485;469;469;515;555;566;620;771;657;755;722;850;978;953;1040;982
Alto Feliz;;;41;48;59;86;106;149;125;188;194;188;171;195;194;212;249;398;520;418;385;406;484;626;643;601;700;714
Alvorada;6682;7040;6970;7363;8338;9118;10871;11892;13159;15703;17989;18335;18311;18818;19814;19935;21335;23200;24658;26092;29836;34349;33121;40490;40456;38488;39946;40726
Amaral Ferrador;92;99;106;114;134;151;147;190;177;172;196;205;193;219;241;244;247;259;291;283;319;351;319;386;400;400;631;378
Ametista do Sul;;;10;17;18;26;33;17;27;86;145;78;133;148;111;37;10;8;8;12;23;40;52;59;76;55;43;42
André da Rocha;33;35;37;34;48;50;72;71;72;80;87;93;174;117;138;231;237;220;229;248;240;778;1021;493;270;231;246;274
Anta Gorda;324;323;355;424;491;506;544;581;575;536;637;691;742;733;710;702;805;788;848;919;949;1052;1204;1245;1226;1213;1265;1388
Antônio Prado;1078;1118;1197;1212;1536;1821;2080;2467;2700;3007;2748;2667;2813;2909;3092;3320;3594;3645;3620;3662;3803;4156;4004;4431;4315;3947;3823;3840
Arambaré;;;167;251;282;319;330;385;492;560;594;587;601;686;706;679;686;679;714;795;840;855;835;1038;1018;988;1061;1056
Araricá;;;;;;;227;275;584;531;755;549;437;599;618;763;994;1196;1348;1646;1557;1629;1536;1803;1678;1597;1482;1383
Aratiba;413;423;411;465;568;647;727;823;773;830;782;834;780;799;894;1190;1008;1028;1036;1140;1176;1285;1350;1515;1496;1431;1349;1351
Arroio do Meio;1954;2187;2431;3008;3465;2842;2980;2837;3018;3259;3518;3611;3708;3732;4022;4122;4276;4411;4722;5004;5402;6229;6784;8257;8254;8310;8496;8616
Arroio do Padre;;;;;;;;;;;70;94;86;102;98;112;112;116;123;196;198;245;227;263;260;233;293;286
Arroio do Sal;1221;1297;1225;1590;1999;2219;2340;2529;2983;2966;2948;2880;2885;3177;3216;3464;3595;3974;4455;4729;5069;5245;4588;6238;5650;5282;5683;5717
Arroio do Tigre;448;524;610;631;701;816;865;933;1047;1113;1111;1126;1151;1160;1319;1428;1608;1590;1603;1790;1917;2120;2195;2453;2242;2255;2247;2128
Arroio dos Ratos;910;926;915;985;1078;1164;1273;1375;1316;1461;1495;1496;1507;1638;1630;1602;1828;1945;1969;2231;2502;3697;3459;4079;4573;4867;3381;3042
Arroio Grande;1265;1323;1280;1373;1453;1613;1669;1628;1778;1804;1814;1744;2037;1920;2111;2145;2459;2635;3189;3040;3426;3407;3191;3729;3666;3537;3689;3984
Arvorezinha;525;561;584;613;694;799;877;1046;1112;1221;1238;1255;1257;1410;1368;1466;1541;1568;1619;1746;1758;1880;2008;2044;1942;1842;1847;1853
Augusto Pestana;538;534;570;596;658;725;779;820;893;901;885;919;915;943;945;963;1064;1160;1268;1296;1476;1568;1553;1692;1610;1584;1612;1587
Áurea;139;143;123;113;138;149;213;210;218;239;249;271;273;286;277;286;326;370;513;551;682;721;796;907;789;789;841;846
Bagé;13654;14378;14299;14255;15915;17314;18623;19931;20919;22318;21769;21889;21041;21255;21060;21610;23494;25064;25949;27215;28853;31378;30496;36668;36109;36648;35794;36248
Balneário Pinhal;;;;;;;2135;2439;2591;3343;2850;2818;2667;2697;2824;3292;3465;3463;3645;3871;4327;4531;3950;5296;5205;4947;5022;4794
Barão;63;57;65;69;82;85;84;62;61;61;72;82;88;72;71;69;67;85;102;96;71;75;81;86;91;84;66;70
Barão de Cotegipe;272;256;245;246;281;302;369;464;484;571;597;640;686;696;647;691;791;813;878;969;1020;1102;1187;1293;1340;1401;1503;1523
Barão do Triunfo;;;29;25;27;38;38;32;24;26;29;25;26;20;23;25;20;20;15;15;36;32;27;26;24;24;22;23
Barra do Guarita;;;49;58;65;69;73;78;79;81;83;102;119;127;134;150;152;156;163;165;181;216;202;220;238;229;239;244
Barra do Quaraí;;;;;;;493;456;653;846;771;756;669;656;628;607;532;541;556;565;534;593;533;619;643;724;842;1220
Barra do Ribeiro;1231;1313;1352;1310;1431;1611;1762;1913;2018;2233;2088;1962;2099;2333;2631;2768;2946;3138;3078;3176;3293;3564;3329;4181;3821;3720;4078;3617
Barra do Rio Azul;;;45;49;65;69;69;81;87;105;107;107;103;100;99;99;109;113;130;152;141;144;143;178;183;178;175;165
Barra Funda;;;125;208;198;254;277;290;345;382;379;350;525;472;495;425;471;609;684;692;723;740;786;794;748;677;685;676
Barracão;155;160;194;207;232;278;307;340;355;416;546;547;514;468;513;555;568;610;696;762;711;735;664;692;712;808;809;743
Barros Cassal;280;310;318;370;405;440;499;522;557;579;673;762;790;769;782;820;900;899;973;1068;1119;1210;1148;1140;1139;1168;1120;1028
Benjamin Constant do Sul;;;;;;;34;45;47;47;53;58;56;51;52;52;61;62;82;95;105;135;149;171;165;290;315;294
Bento Gonçalves;13112;13792;14895;15567;17938;20246;23485;26099;28535;31845;35280;35521;35446;35856;37380;37824;41671;45931;50647;50673;55078;61129;64108;68276;64744;61493;59951;60198
Boa Vista das Missões;;;;;;;;;;;;;;23;;;;;;;0;0;0;;;0;0;0
Boa Vista do Buricá;707;734;800;884;994;1018;900;993;1038;1024;1054;1046;1100;1145;1160;1398;1537;1595;2032;2007;1926;2149;2328;2468;2428;2422;2644;2493
Boa Vista do Cadeado;;;;;;;;;;;26;37;49;48;47;48;52;61;72;92;129;180;165;156;179;216;251;252
Boa Vista do Sul;;;;;;;71;140;177;241;216;186;165;172;162;208;289;307;323;342;347;352;278;273;251;255;244;232
Bom Jesus;1724;2186;2154;2099;2313;2258;2508;2484;1885;2682;1787;1837;1926;1866;1677;1680;1848;2358;3275;3556;2186;3525;3594;3909;3644;2551;3844;3384
Bom Princípio;805;847;963;953;1017;1123;1241;1432;1624;1862;2086;2338;2216;2335;2649;3957;3150;3298;3745;3921;4209;4771;4872;5416;5441;5496;5657;4916
Bom Progresso;;;43;65;75;97;102;116;119;119;127;124;131;127;125;133;158;163;139;134;183;199;198;219;197;358;538;510
Bom Retiro do Sul;820;877;951;1110;1301;1446;1237;1505;1527;1707;1713;1647;1680;1824;1893;1948;2038;2098;2047;2163;2810;2446;2435;2676;2594;2518;2575;2505
Boqueirão do Leão;;;7;;;;;;3;4;1;3;;10;8;10;10;9;3;4;4;4;3;3;8;15;14;15
Bossoroca;;;1;;;;;;4;7;8;12;11;11;9;10;7;1;1;1;1;1;1;1;2;3;1;1
Bozano;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Braga;300;313;344;355;363;343;360;369;338;336;364;352;296;303;304;286;296;319;575;2208;580;508;463;503;520;663;804;818
Brochier;246;245;216;224;258;279;318;377;419;432;499;508;560;643;656;659;658;703;775;856;919;1025;1063;1204;1089;1050;1001;993
Butiá;2310;2367;2121;2204;2369;2627;2833;2879;2874;3294;3011;2971;2973;2951;3066;3021;3233;3415;3687;4074;4360;5025;4875;6087;5639;5590;4603;4660
Caçapava do Sul;2730;2999;3220;3260;3444;3781;4154;4374;4456;4824;4936;4870;4894;5290;5418;5352;5631;5847;6291;6685;7116;8375;8715;9638;9212;8982;8716;9163
Cacequi;1175;1212;1258;1242;1301;1388;1528;1483;1488;1526;1418;1406;1431;1622;1515;1729;1850;1854;1823;1934;2035;2116;2034;2096;1901;1805;1880;1800
Cachoeira do Sul;10052;10618;10680;10794;11757;12128;12642;13682;15064;15780;15073;16305;16607;17592;17822;18158;19245;19671;20300;20948;22206;23641;23241;25891;25274;24285;25441;25747
Cachoeirinha;9781;10448;11242;12120;16743;20339;22269;24882;29805;33014;33081;32782;35437;38461;39693;39707;45045;48099;49509;50354;54694;60977;63402;67040;64788;60955;61135;59340
Cacique Doble;253;219;223;213;186;220;244;272;262;286;272;277;254;256;271;286;308;396;405;395;426;459;408;390;378;405;432;389
Caiçara;142;159;180;173;189;203;212;243;273;321;321;322;326;328;339;370;411;412;422;450;484;533;520;563;570;557;551;543
Camaquã;6114;6637;6948;7032;7697;8106;8866;9112;9593;10428;10691;10857;11254;11874;12642;12900;13832;14699;15368;16179;16730;18432;17743;21801;21328;20745;21048;21475
Camargo;46;40;42;52;62;72;90;95;102;135;152;173;181;187;187;203;248;297;283;324;392;1028;1221;1420;1455;1234;1364;1498
Cambará do Sul;436;432;445;389;432;407;465;485;576;628;715;814;857;812;941;918;978;1030;1021;1057;1090;1170;1212;1255;1225;1274;1190;1140
Campestre da Serra;;;183;220;394;521;672;603;665;697;499;432;406;668;611;653;632;618;610;547;595;594;594;660;676;710;863;825
Campina das Missões;367;366;393;398;414;423;446;476;477;511;526;525;516;551;589;604;688;719;800;848;938;976;977;1105;1085;1069;1057;1056
Campinas do Sul;483;476;490;488;544;553;601;690;746;913;884;902;1039;923;1012;1012;1064;1072;1211;1230;1276;1392;1426;1582;1521;1512;1642;1522
Campo Bom;6558;6905;7611;8072;8552;9423;10697;10247;11174;12588;14433;14730;16071;17046;18499;18477;20467;21804;22626;24830;26373;28336;28413;30175;28558;28526;26906;24658
