variavel: Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Água Santa;31;58;61;64;71;66;75;98;69;92;114;218;303;347;377;376;318;123;156;170;127;139;151;137;139;146;146;154
Agudo;1458;1797;1856;1523;1711;2235;2549;2519;9242;14479;4870;4718;4686;5432;6103;6939;7716;7787;8446;8039;8588;9111;9497;9664;8879;9143;9853;9655
Ajuricaba;524;580;593;638;633;482;525;539;516;456;499;545;585;473;410;321;116;119;105;95;88;79;80;93;87;86;88;82
Alecrim;147;178;167;187;177;138;128;126;127;135;129;127;131;148;142;103;98;83;71;73;68;62;62;59;60;59;54;63
Alegrete;20673;19471;24168;23967;19893;18335;19392;18459;21311;23229;22209;22725;18977;25811;30750;33545;28413;30518;29794;22348;22964;22368;22861;22715;17952;16852;10511;18935
Alegria;148;182;227;386;333;312;325;412;371;277;286;256;98;108;121;95;105;90;85;93;130;167;433;598;856;731;137;35
Alpestre;38;19;21;27;30;29;30;30;43;54;72;53;53;55;55;51;78;64;36;35;40;38;45;47;45;43;45;44
Alto Feliz;;;64;75;89;110;245;637;915;1040;1079;554;636;821;980;1098;819;591;514;597;616;639;744;813;656;647;755;843
Alvorada;8496;8264;8570;9873;11146;12184;14743;15284;14051;15514;15768;15540;16360;18055;17373;17472;18109;20481;21604;24771;25106;24165;26858;27174;23544;21848;21922;21795
Amaral Ferrador;;1;8;3;14;;7;16;19;5;14;23;10;14;19;19;27;28;30;38;35;34;41;43;38;40;46;56
Ametista do Sul;;;238;304;316;327;359;304;345;368;484;663;748;727;721;409;150;63;38;52;55;30;27;41;37;31;23;27
André da Rocha;70;28;64;32;23;34;32;43;43;44;42;36;40;125;102;109;133;110;111;89;133;110;166;279;252;78;348;415
Anta Gorda;615;455;638;1096;893;907;1061;1043;987;1424;1634;1963;2062;1782;1187;1260;1257;1565;1406;1453;1171;1316;1678;2091;2116;2316;2616;2868
Antônio Prado;6814;6067;8241;9272;11280;12719;10925;14283;14291;16249;15479;15846;16340;16411;17973;18042;20453;19860;19034;21543;22515;24971;30768;32965;31867;33674;35742;38353
Arambaré;;;622;501;573;473;391;351;307;412;408;286;253;336;327;324;351;417;415;352;460;397;194;190;215;210;197;198
Araricá;;;;;;;1519;1549;1690;3128;3115;2909;2470;2718;2667;2890;3910;4826;5045;5882;6344;5938;6399;7294;5828;5693;6169;7519
Aratiba;355;307;337;343;314;264;325;1269;391;278;331;321;459;418;472;398;1074;1207;1242;1321;1274;1326;1182;1191;1280;1975;2008;1943
Arroio do Meio;19188;18023;18508;19047;19113;21474;21700;25730;30518;35416;37478;39314;39946;41841;48232;52722;57094;57001;53206;53580;57563;58074;62236;69842;73535;74093;74106;70250
Arroio do Padre;;;;;;;;;;;6;20;20;27;35;39;45;49;44;77;34;28;17;25;42;43;48;51
Arroio do Sal;94;154;152;147;170;274;420;437;454;538;547;589;482;471;479;575;677;677;714;689;754;448;395;420;379;360;285;272
Arroio do Tigre;526;575;619;706;725;1027;1296;1417;1595;1858;1950;1919;1876;2003;1755;1566;1604;1758;1536;1530;1353;1333;1489;1613;1616;1458;1321;1271
Arroio dos Ratos;4415;3188;3416;2343;1584;1660;1615;1604;2099;3269;2869;4304;6124;6850;8781;8387;9073;9137;5549;3673;3885;4130;4554;4688;5130;3315;5752;930
Arroio Grande;2572;2526;3403;3381;3736;3228;2732;2634;3148;2856;2879;2936;2401;2797;2378;2075;2545;3181;3834;5002;5610;4277;3253;2175;2356;1786;1468;1598
Arvorezinha;911;772;942;964;850;1024;1117;939;787;694;730;798;924;1060;1070;1112;1136;984;945;974;838;501;1229;1420;1530;1870;1901;1454
Augusto Pestana;69;43;69;90;91;96;115;116;92;93;114;108;147;155;160;181;238;169;114;136;119;112;107;114;124;120;118;90
Áurea;229;334;285;258;295;291;341;388;384;324;326;348;432;409;377;274;364;374;371;486;330;279;469;475;474;529;582;607
Bagé;69288;65143;44106;27739;25132;13693;13566;13380;20110;23160;21076;25972;23153;26284;26319;24305;23131;25153;24294;26267;29160;27227;27418;28573;28598;29641;30779;30563
Balneário Pinhal;;;;;;;74;74;80;48;43;45;29;96;128;116;150;290;249;291;271;223;241;271;191;178;221;241
Barão;;;3;;;8;5;;6;9;10;29;6;7;12;13;12;6;;0;2;0;0;;;0;0;0
Barão de Cotegipe;329;343;373;391;393;418;463;471;449;530;472;563;810;929;1091;938;991;964;670;693;672;705;736;796;909;938;961;1104
Barão do Triunfo;;;36;;;;;;;;;;;;;0;;;;;0;0;0;0;0;0;0;0
Barra do Guarita;;;20;15;26;28;23;22;22;19;27;25;11;13;9;9;13;14;8;9;7;7;9;11;11;4;6;7
Barra do Quaraí;;;;;;;2207;2063;2140;2129;304;200;168;131;126;120;92;128;177;121;118;189;152;27;27;28;25;24
Barra do Ribeiro;1892;2017;2411;2436;2488;2509;2367;2206;2118;2189;2007;2124;2340;2923;3038;3090;3422;4072;4178;4523;4931;4768;5130;7002;6745;6012;5925;5118
Barra do Rio Azul;;;19;25;25;24;24;23;24;36;48;46;35;34;29;25;25;28;26;18;17;16;13;17;14;15;14;16
Barra Funda;;;801;1284;1481;1210;1709;1980;2354;2773;2434;2323;2813;3313;3649;3430;3466;3485;2729;2510;2503;2928;2701;2881;3072;3407;3672;3833
Barracão;188;243;245;192;211;206;234;241;180;187;253;227;282;342;1453;2022;436;950;362;219;174;98;115;156;120;128;128;114
Barros Cassal;258;145;143;124;128;139;165;168;181;487;432;307;221;231;246;228;197;161;101;103;95;96;93;96;97;97;94;97
Benjamin Constant do Sul;;;;;;;21;22;26;27;27;29;31;31;34;35;36;36;45;47;60;69;83;101;132;64;46;46
Bento Gonçalves;76125;78020;87502;89318;94308;99647;108958;111435;115650;130863;133878;139526;144884;169177;170963;171015;201688;205364;186276;154074;222568;215621;236673;226511;205139;193445;205667;210071
Boa Vista das Missões;;;;;;;;;1;5;3;;;;;;;;;;0;0;0;;;0;0;0
Boa Vista do Buricá;558;786;1039;972;1318;1557;1310;1292;1309;1552;1812;1772;2058;1926;1865;1895;1502;1277;1162;1345;1466;890;1126;1300;1210;1361;1437;1491
Boa Vista do Cadeado;;;;;;;;;;;149;152;150;127;198;255;253;205;127;125;143;150;137;131;130;110;46;4
Boa Vista do Sul;;;;;;;41;96;146;161;1384;1400;1718;2442;2783;2713;2486;2759;2259;2792;4292;3860;3853;4363;4589;4921;5293;6557
Bom Jesus;2633;2710;2692;3401;3000;2509;2357;1810;2051;2498;2394;2033;2665;2582;2568;1324;1491;1601;2638;2254;2389;3255;2111;2176;2437;2824;3137;3550
Bom Princípio;5603;6594;8618;9544;11371;10297;10569;11503;12776;13421;14992;16888;18812;22065;22361;21973;25327;26520;26649;27600;29642;30597;31395;33933;33159;32105;33713;37721
Bom Progresso;;;283;301;327;329;331;313;328;361;359;315;330;306;282;356;437;299;369;372;320;232;268;313;337;213;87;77
Bom Retiro do Sul;4964;4586;5637;6266;5972;5047;4809;5074;5759;6543;8241;9436;9762;10096;9492;9368;9416;10151;9402;10189;10021;9532;10033;10504;10584;10820;10821;11654
Boqueirão do Leão;;;3;;;;;;;;;;;;;0;;;;4;14;19;18;14;4;0;0;0
Bossoroca;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Bozano;;;;;;;;;;;;;;;;0;12;;;;0;0;0;;;0;0;0
Braga;108;148;148;130;123;131;130;106;122;138;194;138;144;139;146;143;192;169;132;132;179;178;227;217;273;204;132;70
Brochier;1362;1467;1100;956;926;917;985;958;1062;1196;1215;1197;1114;1075;556;494;996;919;492;312;357;474;585;587;550;668;779;1050
Butiá;14746;19093;15612;16023;15722;15026;13385;13297;13901;15799;14544;14497;14312;13729;13906;11131;13415;15197;14810;16624;17360;16298;16132;16103;13426;8112;540;595
Caçapava do Sul;45176;55181;55787;43655;36349;24913;18985;17418;17257;19447;20572;21691;24656;24094;17012;18531;20909;24750;23691;26138;30658;30809;35705;36496;33940;32832;33393;37495
Cacequi;515;495;613;646;812;748;869;671;708;813;684;548;307;317;340;359;397;421;596;744;498;700;661;424;940;1282;1444;1486
Cachoeira do Sul;17045;12084;13407;14018;14550;14497;14158;11978;13097;15133;13787;14265;13616;13693;14435;15515;22583;33298;30456;32808;35798;33543;31645;38314;39415;28499;16570;27482
Cachoeirinha;43022;42553;48924;53788;57627;58590;65319;76000;80987;90270;91698;95401;118463;125607;116163;100447;142849;149111;137845;109030;162255;159050;164933;159533;138579;125983;122661;125478
Cacique Doble;313;154;543;698;302;782;706;613;232;194;123;326;163;187;215;170;199;97;55;103;88;75;54;73;57;64;57;58
Caiçara;130;115;112;115;126;96;138;156;145;133;81;93;96;94;85;83;92;82;78;84;60;50;55;58;53;64;97;94
Camaquã;27916;30613;32449;32567;35971;39914;39678;41627;49947;61552;57799;58385;55016;61718;64624;61108;65573;74593;80300;77383;88059;75109;71053;65618;43900;38531;26016;10198
Camargo;27;42;45;49;60;65;61;76;70;401;1307;1478;1363;1465;1843;2059;2514;2248;1420;1256;1470;2553;4314;5967;5852;5304;5945;6636
Cambará do Sul;2580;2948;3509;3917;4203;5148;5342;6648;6835;8895;8959;8319;8106;7537;6869;7840;7943;8077;6431;6779;6381;5211;6463;6742;6958;6547;6826;7026
Campestre da Serra;;;136;143;202;243;180;225;375;324;423;385;397;509;490;447;533;541;626;945;1024;1177;1204;1419;1331;1142;1284;1290
Campina das Missões;201;181;211;218;211;199;212;215;215;216;207;195;193;193;196;169;168;139;121;133;139;128;130;135;126;129;124;118
Campinas do Sul;329;352;379;413;468;452;481;452;660;867;1017;1048;1154;1201;1037;795;784;728;570;603;569;581;843;919;771;591;565;559
Campo Bom;76647;65003;81379;81427;85999;85684;86144;85696;91087;100476;93595;94577;94297;102644;98915;106082;108289;106225;100361;111759;106414;109139;114785;112227;101512;100251;103186;102582
Campo Novo;745;1254;1455;1600;1040;1036;1167;1630;1458;1422;1681;1905;1502;1429;1631;1595;1330;1052;1059;1555;1677;1578;2872;2959;3124;3780;3939;3988
Campos Borges;36;;;;;;;;;;;;;;;;;;;;;;;;;;;
Candelária;1846;1823;1994;3826;3765;4581;4663;3983;4160;4758;5096;4570;4789;5038;4629;5940;5707;5514;4313;3964;3384;3544;4162;4818;4990;4989;5066;5267
Cândido Godói;199;196;243;267;351;303;340;310;284;276;342;376;418;477;370;361;379;396;372;544;659;655;782;1304;1130;1339;1362;1505
Candiota;;;23743;38189;46366;58236;56332;57138;56797;59111;60157;51022;54637;49011;52676;7868;5545;56779;56829;61519;69202;65906;15539;5924;5277;6367;6889;3839
Canela;26590;26764;29470;29695;29374;29427;30993;30915;29453;28590;29114;29820;28642;31902;33883;28972;33000;31077;32133;31965;31804;26635;29237;28469;28565;27217;29545;31767
Canguçu;625;643;690;783;796;803;748;644;818;1251;1569;938;1186;1256;1242;1162;1219;1152;1209;1213;1486;1801;1896;2411;2515;2080;1905;1810
Canoas;223747;216294;178959;186721;179926;177231;166247;155041;146425;162921;166906;165198;167681;175519;172003;162458;151702;153791;145556;162911;172361;195649;198746;198088;182694;166596;170603;184905
Capão Bonito do Sul;;;;;;;;;;;2;4;22;3;11;14;12;11;23;127;132;89;145;169;124;84;3;9
Capão da Canoa;1163;1486;1276;1548;1569;1531;1835;2159;2137;2036;1993;2196;2084;2326;2202;2776;3135;3391;3257;3683;3541;3074;3223;3117;2737;2643;2882;2763
Capão do Cipó;;;;;;;;;;;;31;592;1043;353;233;325;317;232;150;149;157;239;245;298;347;241;325
