variavel: Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Água Santa;4300059;-28,1672;-52,031;275;290;316;303;339;374;425;455;474;482;485;516;518;522;552;559;599;636;712;770;818;906;946;1.040;1.044;1.113;1.188;1.206
Agudo;4300109;-29,6447;-53,2515;2.263;2.403;2.521;2.573;2.824;2.970;3.160;3.368;4.083;4.447;4.220;3.754;3.800;3.939;4.085;4.390;4.524;4.882;5.165;5.571;5.915;6.379;6.578;7.621;7.157;7.369;7.505;7.645
Ajuricaba;4300208;-28,2342;-53,7757;1.344;1.329;1.424;1.495;1.573;1.689;1.771;1.805;1.871;1.993;1.886;1.904;1.900;1.982;1.997;2.014;2.133;2.189;2.366;2.541;2.723;2.923;3.045;3.556;3.351;3.557;3.653;3.803
Alecrim;4300307;-27,6579;-54,7649;720;729;834;881;973;988;999;1.042;1.113;1.148;1.126;1.109;1.105;1.106;1.126;1.138;1.188;1.226;1.325;1.404;1.468;1.606;1.653;1.875;1.880;2.014;2.114;2.213
Alegrete;4300406;-29,7902;-55,7949;29.488;30.032;31.277;31.799;35.182;36.827;37.814;37.713;39.164;40.453;37.592;37.076;36.700;37.739;38.201;39.251;40.701;41.301;44.044;45.803;48.921;51.773;51.725;58.520;53.703;54.137;55.044;58.236
Alegria;4300455;-27,8345;-54,0557;424;464;517;583;631;664;710;706;707;734;695;668;766;754;755;778;764;795;861;921;957;1.049;1.087;1.197;1.202;1.259;1.346;1.380
Alpestre;4300505;-27,2502;-53,0341;703;661;660;700;769;792;815;820;840;948;924;939;1.057;1.057;1.076;1.128;1.238;1.262;1.347;1.454;1.498;1.638;1.714;1.884;1.851;1.887;2.013;2.088
Alto Feliz;4300570;-29,3919;-51,3123;-;-;234;357;402;555;576;621;577;593;602;613;640;601;573;568;594;652;699;775;813;912;1.051;1.193;1.210;1.357;1.230;1.391
Alvorada;4300604;-29,9914;-51,0809;52.627;54.048;54.901;56.838;63.128;68.910;75.935;78.041;79.014;80.583;77.154;76.225;74.645;71.940;71.395;71.156;75.103;77.988;83.673;88.594;95.658;101.919;110.733;121.178;115.902;115.840;118.537;126.932
Amaral Ferrador;4300638;-30,8756;-52,251;213;232;277;327;399;471;463;446;497;500;539;563;560;626;661;693;776;866;956;1.019;1.124;1.167;1.250;1.285;1.195;1.184;1.264;1.252
Ametista do Sul;4300646;-27,3607;-53,183;-;-;6;...;...;18;23;9;20;66;68;27;74;92;102;75;60;63;67;95;85;113;255;247;224;209;204;213
André da Rocha;4300661;-28,6283;-51,5797;93;87;116;138;168;175;209;212;230;243;230;245;297;308;293;301;330;349;389;452;468;472;514;553;557;606;606;608
Anta Gorda;4300703;-28,9698;-52,0102;635;664;721;738;905;985;1.071;1.121;1.164;1.244;1.189;1.229;1.360;1.376;1.431;1.395;1.508;1.534;1.665;1.853;1.914;2.182;2.338;2.639;2.815;2.832;2.889;3.030
Antônio Prado;4300802;-28,8565;-51,2883;3.021;3.139;3.339;3.622;3.886;4.362;4.527;4.962;5.112;5.383;5.127;4.988;5.186;5.267;5.293;5.578;5.828;5.899;6.154;6.524;7.159;7.481;8.178;8.806;8.798;9.195;9.227;9.715
Arambaré;4300851;-30,9093;-51,5046;-;-;1.022;1.439;1.671;1.795;2.128;2.298;2.461;2.370;2.676;2.587;2.586;2.669;2.774;2.817;2.959;3.009;3.227;3.484;3.701;3.896;4.199;4.734;4.754;4.620;4.793;4.773
Araricá;4300877;-29,6168;-50,9291;-;-;-;-;-;-;1.819;1.976;2.143;2.182;2.288;2.367;2.463;2.591;2.751;2.829;3.012;3.168;3.416;3.649;4.122;4.627;4.919;5.557;5.435;5.630;5.842;6.299
Aratiba;4300901;-27,3978;-52,2975;1.022;1.050;1.056;1.047;1.140;1.253;1.327;1.362;1.390;1.544;1.467;1.474;1.584;1.555;1.594;1.655;1.800;1.779;1.914;2.147;2.191;2.382;2.646;2.965;3.060;3.148;3.353;3.554
Arroio do Meio;4301008;-29,4014;-51,9557;4.262;4.562;4.864;5.190;5.844;6.116;6.396;6.845;7.144;7.450;7.643;8.023;8.141;8.410;9.111;9.487;10.088;10.374;11.079;11.734;12.556;13.747;14.784;16.536;16.081;16.740;16.824;17.415
Arroio do Padre;4301073;-31,4316;-52,4171;-;-;-;-;-;-;-;-;-;-;22;65;60;91;78;74;84;106;208;237;1.067;280;305;344;329;329;320;316
Arroio do Sal;4301057;-29,5439;-49,8895;3.249;3.581;2.513;3.899;4.302;4.789;5.503;5.993;6.407;6.983;6.683;8.308;8.667;8.735;9.160;9.720;10.339;10.950;11.933;12.541;13.219;14.418;14.164;16.758;16.713;16.729;17.721;17.927
Arroio do Tigre;4301206;-29,3348;-53,0966;1.175;1.243;1.353;1.407;1.582;1.700;1.864;1.883;1.988;2.119;2.200;2.293;2.506;2.630;2.756;2.859;3.026;3.114;3.311;3.475;3.573;3.814;4.003;4.487;4.289;4.582;4.571;4.745
Arroio dos Ratos;4301107;-30,0875;-51,7275;4.010;3.970;4.215;4.473;4.995;5.399;5.903;6.140;6.210;6.576;6.384;6.344;6.269;6.468;6.532;6.395;6.773;6.959;6.987;7.417;7.242;8.292;8.910;9.843;9.427;9.681;10.048;10.386
Arroio Grande;4301305;-32,2327;-53,0862;5.168;5.230;5.570;5.577;6.184;6.620;6.941;6.849;7.020;7.023;7.035;7.027;7.457;7.046;7.285;7.450;8.029;8.389;8.864;9.468;10.002;10.207;10.958;11.791;11.263;11.416;11.708;11.955
Arvorezinha;4301404;-28,8737;-52,1781;1.465;1.543;1.614;1.684;1.900;2.065;2.232;2.384;2.448;2.560;2.554;2.716;2.797;2.819;2.873;2.935;3.124;3.306;3.586;3.746;3.893;4.148;4.464;5.041;5.291;5.576;5.662;5.874
Augusto Pestana;4301503;-28,5173;-53,9883;1.228;1.256;1.342;1.407;1.513;1.613;1.719;1.772;1.819;1.804;1.719;1.741;1.720;1.762;1.795;1.781;1.844;2.001;2.227;2.368;2.462;2.728;2.888;3.274;3.177;3.391;3.479;3.627
Áurea;4301552;-27,6936;-52,0505;419;455;405;417;486;552;608;592;611;648;642;655;688;705;709;723;814;804;897;981;1.007;1.073;1.222;1.338;1.378;1.436;1.494;1.503
Bagé;4301602;-31,3297;-54,0999;41.674;42.552;43.202;43.752;48.715;52.631;55.421;56.798;58.823;60.198;57.353;57.439;55.796;55.244;56.583;56.705;60.876;62.620;65.525;69.148;71.345;73.811;78.191;84.523;79.419;81.525;81.072;84.767
Balneário Pinhal;4301636;-30,2419;-50,2336;-;-;-;-;-;-;7.488;8.731;9.411;9.907;9.540;10.661;11.045;11.017;10.956;11.807;12.088;12.358;12.999;14.239;14.932;15.436;16.376;17.895;17.232;16.678;17.857;17.764
Barão;4301651;-29,3725;-51,4949;31;31;39;47;46;48;78;76;67;64;36;13;30;19;16;19;33;44;62;102;114;117;134;164;217;196;205;203
Barão de Cotegipe;4301701;-27,6208;-52,3798;898;884;939;1.010;1.131;1.223;1.330;1.372;1.417;1.555;1.518;1.529;1.633;1.734;1.823;1.782;1.944;1.958;2.153;2.342;2.436;2.660;2.863;3.195;3.289;3.596;3.697;3.962
Barão do Triunfo;4301750;-30,3891;-51,7384;-;-;37;25;33;45;47;37;42;31;24;29;31;37;46;70;131;220;244;271;270;293;282;280;252;219;255;242
Barra do Guarita;4301859;-27,1927;-53,7109;-;-;326;441;507;540;558;568;540;551;539;538;568;614;659;676;706;757;870;931;954;1.037;1.142;1.344;1.416;1.510;1.561;1.629
Barra do Quaraí;4301875;-30,2029;-57,5497;-;-;-;-;-;-;910;1.009;1.156;1.306;1.315;1.350;1.400;1.414;1.407;1.393;1.373;1.364;1.436;1.474;1.485;1.614;1.900;2.398;2.285;2.563;2.657;2.751
Barra do Ribeiro;4301909;-30,2939;-51,3014;3.214;3.615;3.772;3.800;4.275;4.576;5.013;5.181;5.302;5.605;5.489;5.220;5.035;5.014;5.205;5.381;5.581;5.627;5.784;6.098;6.632;7.223;8.046;8.942;8.637;8.471;8.656;9.143
Barra do Rio Azul;4301925;-27,4068;-52,4084;-;-;65;88;124;141;144;148;176;183;171;171;213;196;203;200;223;251;277;329;313;343;356;403;448;463;480;491
Barra Funda;4301958;-27,9205;-53,0391;-;-;241;343;371;427;476;510;550;601;593;592;651;643;675;677;730;814;918;943;984;1.089;1.200;1.352;1.373;1.426;1.501;1.633
Barracão;4301800;-27,6739;-51,4586;744;768;777;788;892;970;1.018;1.028;1.035;1.110;1.106;1.193;1.227;1.215;1.317;1.438;1.472;1.599;1.700;1.909;1.956;2.001;2.118;2.309;2.311;2.415;2.551;2.697
Barros Cassal;4302006;-29,0947;-52,5836;728;769;804;870;979;1.055;1.156;1.189;1.246;1.310;1.317;1.372;1.436;1.442;1.506;1.505;1.541;1.598;1.732;1.819;1.901;2.128;2.243;2.458;2.462;2.565;2.608;2.784
Benjamin Constant do Sul;4302055;-27,5086;-52,5995;-;-;-;-;-;-;81;107;123;127;136;123;136;143;158;193;208;231;299;376;405;440;475;494;562;576;592;591
Bento Gonçalves;4302105;-29,1662;-51,5165;33.066;34.206;35.946;37.929;42.732;47.082;50.310;53.199;55.406;56.797;54.713;54.206;54.812;54.993;56.323;56.088;59.788;66.761;74.992;76.747;80.352;82.238;89.431;94.816;93.795;99.374;100.552;106.699
Boa Vista das Missões;4302154;-27,6671;-53,3102;-;-;-;...;...;4;...;...;...;1;2;4;3;2;5;4;5;6;5;7;8;7;8;9;14;13;16;15
Boa Vista do Buricá;4302204;-27,6693;-54,1082;1.527;1.565;1.674;1.793;1.967;2.067;2.040;2.100;2.200;2.305;2.341;2.340;2.318;2.344;2.416;2.435;2.507;2.571;2.852;3.048;3.127;3.483;3.607;4.175;4.234;4.441;4.702;4.982
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;-;-;-;-;-;-;-;-;-;-;141;104;156;164;148;149;148;162;175;221;253;274;317;345;345;384;399;417
Boa Vista do Sul;4302253;-29,3544;-51,6687;-;-;-;-;-;-;141;176;161;178;149;242;259;255;238;250;251;233;287;313;312;335;365;430;433;445;463;493
Bom Jesus;4302303;-28,6697;-50,4295;2.823;2.992;2.778;2.844;2.997;3.387;3.709;3.724;3.819;3.928;3.762;3.758;4.115;4.052;4.017;3.872;3.975;3.933;4.154;4.526;4.852;5.051;5.406;5.754;5.879;6.256;6.678;6.912
Bom Princípio;4302352;-29,4856;-51,3548;1.654;1.744;1.853;2.081;2.311;3.020;3.980;4.025;4.000;4.260;4.472;4.966;4.736;5.072;5.350;5.490;5.970;6.228;6.766;7.322;7.930;8.744;9.445;10.737;10.486;10.923;10.968;11.505
Bom Progresso;4302378;-27,5399;-53,8716;-;-;198;287;328;334;380;414;430;475;485;480;543;529;527;548;572;593;640;700;800;802;857;969;992;1.020;1.057;1.060
