variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Água Santa;4300059;-28,1672;-52,031;12;12;19;83;102;105;129;131;142;177;191;325;218;243;230;251;277;277;291;293;298;310;295;286;277;279;282;265
Agudo;4300109;-29,6447;-53,2515;9.614;8.789;9.013;9.534;10.668;10.021;12.662;10.694;13.410;13.797;12.319;13.874;13.104;14.227;14.726;15.274;14.907;15.795;16.393;15.735;18.353;19.236;17.637;19.761;17.029;16.795;18.777;20.233
Ajuricaba;4300208;-28,2342;-53,7757;1;...;9;10;19;20;265;12;17;19;21;24;28;30;30;26;28;28;32;29;33;36;38;46;41;42;48;51
Alecrim;4300307;-27,6579;-54,7649;295;299;333;335;327;349;391;421;438;468;471;509;475;503;517;530;532;559;578;578;609;630;619;648;613;617;629;643
Alegrete;4300406;-29,7902;-55,7949;34.574;37.389;39.972;42.217;41.903;33.989;31.420;28.820;39.889;47.987;34.520;40.920;46.923;68.639;72.438;79.778;62.543;81.956;77.900;84.057;91.177;90.068;94.027;93.073;82.586;83.094;84.514;88.649
Alegria;4300455;-27,8345;-54,0557;472;509;523;563;568;600;627;676;703;735;734;743;666;688;717;764;807;817;847;864;839;870;881;897;879;901;906;920
Alpestre;4300505;-27,2502;-53,0341;3.152;2.486;2.509;2.819;2.763;2.916;1.909;1.758;2.583;3.603;3.614;4.767;4.932;5.533;5.689;5.669;5.874;5.734;5.692;3.565;1.425;1.440;1.387;1.489;1.589;1.551;1.663;1.799
Alto Feliz;4300570;-29,3919;-51,3123;-;-;891;901;945;883;785;1.032;1.024;1.235;1.328;1.238;1.279;1.475;1.566;1.656;1.774;1.847;1.846;1.963;1.980;2.112;2.150;2.391;2.500;2.689;3.103;3.335
Alvorada;4300604;-29,9914;-51,0809;86;52;59;93;124;120;126;133;133;201;142;140;158;133;123;103;93;101;104;115;126;144;145;144;129;262;154;158
Amaral Ferrador;4300638;-30,8756;-52,251;190;216;240;235;271;315;506;685;808;921;1.102;1.129;1.275;1.476;1.539;1.597;1.714;1.877;2.021;2.048;2.210;2.235;2.316;2.773;2.720;2.768;3.492;3.265
Ametista do Sul;4300646;-27,3607;-53,183;-;-;1.414;6.066;5.441;6.416;7.037;6.776;7.438;9.128;9.876;10.867;11.178;10.367;10.789;11.072;11.332;10.762;10.277;5.319;502;544;489;472;520;556;589;627
André da Rocha;4300661;-28,6283;-51,5797;216;260;264;454;821;1.060;1.251;1.226;1.108;1.173;1.258;1.276;1.236;1.300;1.324;1.287;1.461;1.543;1.645;1.752;1.650;1.183;970;1.487;1.668;1.608;1.708;1.777
Anta Gorda;4300703;-28,9698;-52,0102;2.611;2.522;2.692;2.705;2.792;3.233;3.367;3.578;3.704;4.193;4.356;4.642;4.747;5.546;6.024;6.300;6.382;7.033;6.917;7.138;8.230;8.429;8.326;8.773;8.788;8.698;9.262;8.814
Antônio Prado;4300802;-28,8565;-51,2883;2.152;2.115;2.150;2.177;2.253;2.265;3.216;2.897;3.371;3.534;3.781;3.737;3.909;4.292;4.470;4.402;4.585;4.384;4.713;4.858;5.298;6.119;6.456;7.277;7.258;7.439;8.460;8.452
Arambaré;4300851;-30,9093;-51,5046;-;-;1.656;3.016;3.686;2.779;2.797;2.870;3.273;2.993;2.503;2.531;2.932;3.507;4.411;4.752;4.322;5.089;4.646;4.781;4.982;4.478;4.404;4.988;4.550;5.110;4.559;5.090
Araricá;4300877;-29,6168;-50,9291;-;-;-;-;-;-;155;255;334;310;370;385;403;418;519;552;659;735;762;791;864;958;966;1.047;918;944;1.023;1.072
Aratiba;4300901;-27,3978;-52,2975;2.819;3.070;2.567;2.605;2.715;2.959;3.130;3.379;3.594;3.757;3.908;4.179;3.884;3.914;4.193;4.420;4.844;5.058;5.076;4.852;4.741;4.992;5.184;5.080;5.096;4.927;5.245;5.411
Arroio do Meio;4301008;-29,4014;-51,9557;2.958;3.074;3.094;2.967;3.172;3.287;3.719;4.197;4.395;4.371;5.477;5.486;5.051;4.451;4.999;5.277;5.613;5.701;5.859;6.033;6.244;6.636;6.724;6.983;6.801;6.798;7.348;7.461
Arroio do Padre;4301073;-31,4316;-52,4171;-;-;-;-;-;-;-;-;-;-;583;1.536;1.587;1.869;1.905;1.979;2.056;2.200;2.301;2.298;2.517;2.669;2.578;3.235;3.178;3.150;3.646;3.609
Arroio do Sal;4301057;-29,5439;-49,8895;120;148;144;131;141;133;111;127;153;192;184;206;237;253;281;283;278;308;328;335;481;464;681;417;415;408;455;443
Arroio do Tigre;4301206;-29,3348;-53,0966;3.396;4.102;4.978;5.238;5.708;6.227;6.894;7.725;8.482;8.445;9.232;10.380;11.164;10.942;11.796;12.649;13.165;13.689;12.881;9.637;10.104;10.467;10.694;11.958;10.385;12.753;11.569;12.079
Arroio dos Ratos;4301107;-30,0875;-51,7275;1.114;1.078;847;788;648;556;454;491;520;679;878;773;680;649;594;563;603;601;600;551;542;520;502;525;542;584;623;584
Arroio Grande;4301305;-32,2327;-53,0862;17.787;19.642;19.235;21.219;21.965;16.207;17.461;16.125;21.211;21.497;16.643;16.038;16.933;20.721;23.931;21.707;19.096;25.608;20.470;24.253;25.261;26.007;24.909;21.951;24.314;26.669;26.241;29.763
Arvorezinha;4301404;-28,8737;-52,1781;2.312;2.334;2.264;2.261;2.338;2.829;3.152;3.424;3.533;4.004;4.112;5.095;5.065;5.635;5.969;5.819;6.315;6.984;7.658;7.967;7.692;8.258;8.071;8.860;9.755;9.359;9.839;9.701
Augusto Pestana;4301503;-28,5173;-53,9883;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;4;13;12;10;9;19;25;18;18;18;18;21;20
Áurea;4301552;-27,6936;-52,0505;1.441;1.584;1.078;998;1.018;1.089;1.187;1.261;1.283;1.339;1.351;1.432;1.398;1.434;1.511;1.564;1.735;1.664;1.734;1.667;1.840;1.967;1.725;1.871;1.828;1.762;1.905;2.029
Bagé;4301602;-31,3297;-54,0999;9.066;10.473;11.138;11.001;12.351;5.932;2.939;3.079;3.332;3.006;3.603;3.786;4.428;5.159;5.627;5.855;5.499;6.744;7.434;7.569;8.173;8.020;8.160;7.884;7.689;8.716;7.808;11.986
Balneário Pinhal;4301636;-30,2419;-50,2336;-;-;-;-;-;-;31;12;7;8;6;4;3;3;5;15;22;24;30;28;43;53;70;119;90;97;111;97
Barão;4301651;-29,3725;-51,4949;466;453;480;513;552;604;470;405;438;464;506;556;640;636;652;685;696;745;786;898;919;986;1.029;1.144;1.073;1.108;1.159;1.165
Barão de Cotegipe;4301701;-27,6208;-52,3798;1.465;1.572;1.490;1.550;1.716;1.831;2.039;2.176;2.187;2.375;2.450;2.485;2.276;2.323;2.427;2.542;2.846;2.959;3.196;3.294;3.296;3.342;3.520;3.716;3.642;3.510;3.868;4.044
